วันที่,สาขา,รายละเอียด,ประเภท,รายรับ,รายจ่าย,ยอดรวม
,,ยอดยกมา (Opening balance),OPENING,125655.69,,125655.69
01/01/2026,B1,ยอดขายเงินสด,Sales-Cash,8590,,134245.69
01/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5100,,139345.69
02/01/2026,ALL,ส่วนแบ่งกำไร Blessme (Dec25),DISTRIBUTION,,47961,91384.69
02/01/2026,ALL,ส่วนแบ่งกำไร Ming (Dec25),DISTRIBUTION,,31974,59410.69
02/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6100,,65510.69
02/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5005,,70515.69
02/01/2026,B1,แก้ว หลอด,COGS,,2165,68350.69
02/01/2026,B1,Unknown,COGS,,400,67950.69
03/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6050,,74000.69
03/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4040,,78040.69
03/01/2026,B1,แตงโม 60 ลูก,COGS,,4000,74040.69
04/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4120,,78160.69
04/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2720,,80880.69
04/01/2026,B1,ค่าส่งแก้ว,COGS,,198,80682.69
05/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4840,,85522.69
05/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2360,,87882.69
06/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3600,,91482.69
06/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2420,,93902.69
06/01/2026,B1,ค่าส้ม 5720 ค่าส่งส้ม 960,COGS,,6680,87222.69
06/01/2026,B1,ค่าส่งส้มมาบทท,COGS,,375,86847.69
07/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3730,,90577.69
07/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2700,,93277.69
07/01/2026,B1,Unknown,COGS,,400,92877.69
08/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4160,,97037.69
08/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,1750,,98787.69
08/01/2026,B1,"ค่าเช่า12,000 น้ำไฟ324 รวม12,324",OPEX,,12324,86463.69
08/01/2026,B1,Unknown,COGS,,400,86063.69
09/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4790,,90853.69
09/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4290,,95143.69
09/01/2026,B1,Unknown,COGS,,400,94743.69
09/01/2026,B1,ค่าขนตะกร้ากลับ,COGS,,500,94243.69
10/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5330,,99573.69
10/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4530,,104103.69
11/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4310,,108413.69
11/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3230,,111643.69
11/01/2026,B1,ขวดใหญ่ 98 ใบ,COGS,,319,111324.69
11/01/2026,B1,ค่าส่งส้มไปบทท,COGS,,461,110863.69
11/01/2026,B1,ค่าส้ม20ลัง,COGS,,6680,104183.69
11/01/2026,B1,Unknown,COGS,,400,103783.69
12/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6640,,110423.69
12/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2780,,113203.69
12/01/2026,B1,ถุงขยะ,COGS,,548,112655.69
13/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3880,,116535.69
13/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3290,,119825.69
14/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3810,,123635.69
14/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2590,,126225.69
14/01/2026,B1,Unknown,COGS,,1625,124600.69
14/01/2026,B1,แตงโม 40ลูก,COGS,,3200,121400.69
14/01/2026,B1,ส้ม 20 ตะกร้า,COGS,,6680,114720.69
14/01/2026,B1,ค่าส่งส้มมาบทท,COGS,,675,114045.69
15/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3910,,117955.69
15/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2790,,120745.69
16/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5440,,126185.69
